model_name,file_id,example_index,E_INF
gemini-3.1-pro-preview,f12,4,False
gemini-3.1-pro-preview,f12,5,False
gemini-3.1-pro-preview,f12,6,False
gemini-3.1-pro-preview,f12,7,True
gemini-3.1-pro-preview,f12,8,True
gemini-3.1-pro-preview,f12,9,True
gemini-3.1-pro-preview,f13,0,False
gemini-3.1-pro-preview,f13,1,False
gemini-3.1-pro-preview,f13,2,True
gemini-3.1-pro-preview,f13,3,True
gemini-3.1-pro-preview,f13,4,True
gemini-3.1-pro-preview,f13,5,False
gemini-3.1-pro-preview,f13,6,False
gemini-3.1-pro-preview,f13,7,False
gemini-2.5-flash,f1,0,False
gemini-2.5-flash,f1,1,False
gemini-2.5-flash,f1,2,True
gemini-2.5-flash,f1,3,False
gemini-2.5-flash,f1,4,True
gemini-2.5-flash,f1,5,True
gemini-2.5-flash,f1,6,True
gemini-2.5-flash,f1,7,True
gemini-2.5-flash,f1,8,True
gemini-2.5-flash,f1,9,False
gemini-2.5-flash,f2,0,True
gemini-2.5-flash,f2,1,False
gemini-2.5-flash,f2,2,True
gemini-2.5-flash,f2,3,True
gemini-2.5-flash,f2,4,True
gemini-2.5-flash,f2,5,False
gemini-2.5-flash,f2,6,True
gemini-2.5-flash,f2,7,True
gemini-2.5-flash,f2,8,False
gemini-2.5-flash,f2,9,True
gemini-2.5-flash,f3,0,True
gemini-2.5-flash,f3,1,False
gemini-2.5-flash,f3,2,False
gemini-2.5-flash,f3,3,False
gemini-2.5-flash,f3,4,True
gemini-2.5-flash,f3,5,True
gemini-2.5-flash,f3,6,False
gemini-2.5-flash,f3,7,False
gemini-2.5-flash,f3,8,True
gemini-2.5-flash,f3,9,False
gemini-2.5-flash,f4,0,False
gemini-2.5-flash,f4,1,True
gemini-2.5-flash,f4,2,False
gemini-2.5-flash,f4,3,True
gemini-2.5-flash,f4,4,True
gemini-2.5-flash,f4,5,True
gemini-2.5-flash,f4,6,True
gemini-2.5-flash,f4,7,True
gemini-2.5-flash,f4,8,True
gemini-2.5-flash,f4,9,True
gemini-2.5-flash,f5,0,True
gemini-2.5-flash,f5,1,True
gemini-2.5-flash,f5,2,True
gemini-2.5-flash,f5,3,True
gemini-2.5-flash,f5,4,True
gemini-2.5-flash,f5,5,True
gemini-2.5-flash,f5,6,True
gemini-2.5-flash,f5,7,True
gemini-2.5-flash,f5,8,True
gemini-2.5-flash,f5,9,True
gemini-2.5-flash,f6,0,True
gemini-2.5-flash,f6,1,True
gemini-2.5-flash,f6,2,True
gemini-2.5-flash,f6,3,False
gemini-2.5-flash,f6,4,True
gemini-2.5-flash,f6,5,True
gemini-2.5-flash,f6,6,True
gemini-2.5-flash,f6,7,True
gemini-2.5-flash,f6,8,True
gemini-2.5-flash,f6,9,True
gemini-2.5-flash,f7,0,False
gemini-2.5-flash,f7,1,False
gemini-2.5-flash,f7,2,False
gemini-2.5-flash,f7,3,True
gemini-2.5-flash,f7,4,True
gemini-2.5-flash,f7,5,True
gemini-2.5-flash,f7,6,True
gemini-2.5-flash,f7,7,True
gemini-2.5-flash,f7,8,True
gemini-2.5-flash,f7,9,True
gemini-2.5-flash,f8,0,True
gemini-2.5-flash,f8,1,False
gemini-2.5-flash,f8,2,True
gemini-2.5-flash,f8,3,False
gemini-2.5-flash,f8,4,True
gemini-2.5-flash,f8,5,True
gemini-2.5-flash,f8,6,True
gemini-2.5-flash,f8,7,True
gemini-2.5-flash,f8,8,True
gemini-2.5-flash,f8,9,True
gemini-2.5-flash,f9,0,True
gemini-2.5-flash,f9,1,True
gemini-2.5-flash,f9,2,True
gemini-2.5-flash,f9,3,True
gemini-2.5-flash,f9,4,True
gemini-2.5-flash,f9,5,True
gemini-2.5-flash,f9,6,True
gemini-2.5-flash,f9,7,True
gemini-2.5-flash,f9,8,True
gemini-2.5-flash,f9,9,True
gemini-2.5-flash,f10,0,True
gemini-2.5-flash,f10,1,True
gemini-2.5-flash,f10,2,True
gemini-2.5-flash,f10,3,True
gemini-2.5-flash,f10,4,True
gemini-2.5-flash,f10,5,True
gemini-2.5-flash,f10,6,True
gemini-2.5-flash,f10,7,True
gemini-2.5-flash,f10,8,True
gemini-2.5-flash,f10,9,True
gemini-2.5-flash,f11,0,True
gemini-2.5-flash,f11,1,True
gemini-2.5-flash,f11,2,True
gemini-2.5-flash,f11,3,False
gemini-2.5-flash,f11,4,False
gemini-2.5-flash,f11,5,False
gemini-2.5-flash,f11,6,False
gemini-2.5-flash,f11,7,False
gemini-2.5-flash,f11,8,False
gemini-2.5-flash,f11,9,True
gemini-2.5-flash,f12,0,True
gemini-2.5-flash,f12,1,True
gemini-2.5-flash,f12,2,True
gemini-2.5-flash,f12,3,True
gemini-2.5-flash,f12,4,True
gemini-2.5-flash,f12,5,True
gemini-2.5-flash,f12,6,True
gemini-2.5-flash,f12,7,True
gemini-2.5-flash,f12,8,True
gemini-2.5-flash,f12,9,True
gemini-2.5-flash,f13,0,False
gemini-2.5-flash,f13,1,False
gemini-2.5-flash,f13,2,False
gemini-2.5-flash,f13,3,False
gemini-2.5-flash,f13,4,False
gemini-2.5-flash,f13,5,False
gemini-2.5-flash,f13,6,False
gemini-2.5-flash,f13,7,False
gpt-4o-audio-preview,f1,0,False
gpt-4o-audio-preview,f1,1,False
gpt-4o-audio-preview,f1,2,True
gpt-4o-audio-preview,f1,3,True
gpt-4o-audio-preview,f1,4,True
gpt-4o-audio-preview,f1,5,True
gpt-4o-audio-preview,f1,6,False
gpt-4o-audio-preview,f1,7,True
gpt-4o-audio-preview,f1,8,False
gpt-4o-audio-preview,f1,9,True
gpt-4o-audio-preview,f2,0,False
gpt-4o-audio-preview,f2,1,False
gpt-4o-audio-preview,f2,2,False
gpt-4o-audio-preview,f2,3,False
gpt-4o-audio-preview,f2,4,False
gpt-4o-audio-preview,f2,5,False
gpt-4o-audio-preview,f2,6,False
gpt-4o-audio-preview,f2,7,False
gpt-4o-audio-preview,f2,8,False
gpt-4o-audio-preview,f2,9,False
gpt-4o-audio-preview,f3,0,False
gpt-4o-audio-preview,f3,1,False
gpt-4o-audio-preview,f3,2,False
gpt-4o-audio-preview,f3,3,False
gpt-4o-audio-preview,f3,4,True
gpt-4o-audio-preview,f3,5,True
gpt-4o-audio-preview,f3,6,True
gpt-4o-audio-preview,f3,7,False
gpt-4o-audio-preview,f3,8,True
gpt-4o-audio-preview,f3,9,True
gpt-4o-audio-preview,f4,0,False
gpt-4o-audio-preview,f4,1,True
gpt-4o-audio-preview,f4,2,False
gpt-4o-audio-preview,f4,3,True
gpt-4o-audio-preview,f4,4,True
gpt-4o-audio-preview,f4,5,True
gpt-4o-audio-preview,f4,6,True
gpt-4o-audio-preview,f4,7,True
gpt-4o-audio-preview,f4,8,True
gpt-4o-audio-preview,f4,9,True
gpt-4o-audio-preview,f5,0,True
gpt-4o-audio-preview,f5,1,False
gpt-4o-audio-preview,f5,2,False
gpt-4o-audio-preview,f5,3,True
gpt-4o-audio-preview,f5,4,True
gpt-4o-audio-preview,f5,5,False
gpt-4o-audio-preview,f5,6,True
gpt-4o-audio-preview,f5,7,False
gpt-4o-audio-preview,f5,8,False
gpt-4o-audio-preview,f5,9,True
gpt-4o-audio-preview,f6,0,True
gpt-4o-audio-preview,f6,1,True
gpt-4o-audio-preview,f6,2,True
gpt-4o-audio-preview,f6,3,True
gpt-4o-audio-preview,f6,4,True
gpt-4o-audio-preview,f6,5,True
gpt-4o-audio-preview,f6,6,True
gpt-4o-audio-preview,f6,7,True
gpt-4o-audio-preview,f6,8,True
gpt-4o-audio-preview,f6,9,True
gpt-4o-audio-preview,f7,0,True
gpt-4o-audio-preview,f7,1,False
gpt-4o-audio-preview,f7,2,False
gpt-4o-audio-preview,f7,3,True
gpt-4o-audio-preview,f7,4,True
gpt-4o-audio-preview,f7,5,True
gpt-4o-audio-preview,f7,6,True
gpt-4o-audio-preview,f7,7,True
gpt-4o-audio-preview,f7,8,True
gpt-4o-audio-preview,f7,9,True
gpt-4o-audio-preview,f8,0,True
gpt-4o-audio-preview,f8,1,True
gpt-4o-audio-preview,f8,2,False
gpt-4o-audio-preview,f8,3,True
gpt-4o-audio-preview,f8,4,True
gpt-4o-audio-preview,f8,5,False
gpt-4o-audio-preview,f8,6,True
gpt-4o-audio-preview,f8,7,True
gpt-4o-audio-preview,f8,8,False
gpt-4o-audio-preview,f8,9,True
gpt-4o-audio-preview,f9,0,False
gpt-4o-audio-preview,f9,1,True
gpt-4o-audio-preview,f9,2,True
gpt-4o-audio-preview,f9,3,True
gpt-4o-audio-preview,f9,4,False
gpt-4o-audio-preview,f9,5,True
gpt-4o-audio-preview,f9,6,False
gpt-4o-audio-preview,f9,7,True
gpt-4o-audio-preview,f9,8,False
gpt-4o-audio-preview,f9,9,True
gpt-4o-audio-preview,f10,0,True
gpt-4o-audio-preview,f10,1,False
gpt-4o-audio-preview,f10,2,True
gpt-4o-audio-preview,f10,3,True
gpt-4o-audio-preview,f10,4,False
gpt-4o-audio-preview,f10,5,True
gpt-4o-audio-preview,f10,6,True
gpt-4o-audio-preview,f10,7,True
gpt-4o-audio-preview,f10,8,True
gpt-4o-audio-preview,f10,9,True
gpt-4o-audio-preview,f11,0,True
gpt-4o-audio-preview,f11,1,True
gpt-4o-audio-preview,f11,2,False
gpt-4o-audio-preview,f11,3,False
gpt-4o-audio-preview,f11,4,False
gpt-4o-audio-preview,f11,5,False
gpt-4o-audio-preview,f11,6,True
gpt-4o-audio-preview,f11,7,True
gpt-4o-audio-preview,f11,8,True
gpt-4o-audio-preview,f11,9,True
gpt-4o-audio-preview,f12,0,False
gpt-4o-audio-preview,f12,1,True
gpt-4o-audio-preview,f12,2,False
gpt-4o-audio-preview,f12,3,True
gpt-4o-audio-preview,f12,4,False
gpt-4o-audio-preview,f12,5,True
gpt-4o-audio-preview,f12,6,True
gpt-4o-audio-preview,f12,7,True
gpt-4o-audio-preview,f12,8,True
gpt-4o-audio-preview,f12,9,True
gpt-4o-audio-preview,f13,0,True
gpt-4o-audio-preview,f13,1,True
gpt-4o-audio-preview,f13,2,True
gpt-4o-audio-preview,f13,3,False
gpt-4o-audio-preview,f13,4,True
gpt-4o-audio-preview,f13,5,True
gpt-4o-audio-preview,f13,6,True
gpt-4o-audio-preview,f13,7,True
gpt-audio,f1,0,False
gpt-audio,f1,1,False
gpt-audio,f1,2,True
gpt-audio,f1,3,True
gpt-audio,f1,4,True
gpt-audio,f1,5,False
gpt-audio,f1,6,False
gpt-audio,f1,7,True
gpt-audio,f1,8,False
gpt-audio,f1,9,True
gpt-audio,f2,0,True
gpt-audio,f2,1,False
gpt-audio,f2,2,True
gpt-audio,f2,3,True
gpt-audio,f2,4,False
gpt-audio,f2,5,False
gpt-audio,f2,6,False
gpt-audio,f2,7,False
gpt-audio,f2,8,True
gpt-audio,f2,9,False
gpt-audio,f3,0,False
gpt-audio,f3,1,False
gpt-audio,f3,2,False
gpt-audio,f3,3,True
gpt-audio,f3,4,True
gpt-audio,f3,5,True
gpt-audio,f3,6,True
gpt-audio,f3,7,True
gpt-audio,f3,8,True
gpt-audio,f3,9,True
gpt-audio,f4,0,True
gpt-audio,f4,1,True
gpt-audio,f4,2,False
gpt-audio,f4,3,True
gpt-audio,f4,4,True
gpt-audio,f4,5,False
gpt-audio,f4,6,False
gpt-audio,f4,7,False
gpt-audio,f4,8,True
gpt-audio,f4,9,False
gpt-audio,f5,0,False
gpt-audio,f5,1,False
gpt-audio,f5,2,True
gpt-audio,f5,3,True
gpt-audio,f5,4,False
gpt-audio,f5,5,False
gpt-audio,f5,6,False
gpt-audio,f5,7,True
gpt-audio,f5,8,True
gpt-audio,f5,9,True
gpt-audio,f6,0,True
gpt-audio,f6,1,False
gpt-audio,f6,2,True
gpt-audio,f6,3,False
gpt-audio,f6,4,False
gpt-audio,f6,5,True
gpt-audio,f6,6,True
gpt-audio,f6,7,True
gpt-audio,f6,8,True
gpt-audio,f6,9,False
gpt-audio,f7,0,False
gpt-audio,f7,1,False
gpt-audio,f7,2,False
gpt-audio,f7,3,False
gpt-audio,f7,4,False
gpt-audio,f7,5,False
gpt-audio,f7,6,False
gpt-audio,f7,7,False
gpt-audio,f7,8,False
gpt-audio,f7,9,False
gpt-audio,f8,0,False
gpt-audio,f8,1,True
gpt-audio,f8,2,True
gpt-audio,f8,3,False
gpt-audio,f8,4,False
gpt-audio,f8,5,False
gpt-audio,f8,6,False
gpt-audio,f8,7,False
gpt-audio,f8,8,False
gpt-audio,f8,9,False
gpt-audio,f9,0,False
gpt-audio,f9,1,False
gpt-audio,f9,2,True
gpt-audio,f9,3,True
gpt-audio,f9,4,True
gpt-audio,f9,5,True
gpt-audio,f9,6,False
gpt-audio,f9,7,True
gpt-audio,f9,8,False
gpt-audio,f9,9,False
gpt-audio,f10,0,True
gpt-audio,f10,1,False
gpt-audio,f10,2,True
gpt-audio,f10,3,True
gpt-audio,f10,4,True
gpt-audio,f10,5,True
gpt-audio,f10,6,True
gpt-audio,f10,7,True
gpt-audio,f10,8,True
gpt-audio,f10,9,False
gpt-audio,f11,0,False
gpt-audio,f11,1,True
gpt-audio,f11,2,True
gpt-audio,f11,3,True
gpt-audio,f11,4,True
gpt-audio,f11,5,True
gpt-audio,f11,6,True
gpt-audio,f11,7,True
gpt-audio,f11,8,True
gpt-audio,f11,9,True
gpt-audio,f12,0,False
gpt-audio,f12,1,True
gpt-audio,f12,2,False
gpt-audio,f12,3,True
gpt-audio,f12,4,True
gpt-audio,f12,5,True
gpt-audio,f12,6,True
gpt-audio,f12,7,True
gpt-audio,f12,8,True
gpt-audio,f12,9,True
gpt-audio,f13,0,True
gpt-audio,f13,1,False
gpt-audio,f13,2,False
gpt-audio,f13,3,False
gpt-audio,f13,4,False
gpt-audio,f13,5,False
gpt-audio,f13,6,False
gpt-audio,f13,7,True
