example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 focuses on ""Rob"", meaning Rob is the only person who received bananas. Therefore, it entails that Tom did not receive bananas.",,,1,NEG,1,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 focuses on ""Tom"", meaning Tom is the only person who received grapes. This provides no information about whether Tom received oranges, making S2 independent.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,1,B,,,,"S1 focuses on ""Sue"", meaning Sue is the only person who received oranges. This does not restrict what other items Sue might have received, so S2 is independent.",,,1,POS,2,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 focuses on ""Sue"", meaning Sue is the only person who received bananas. This entails that Rob did not receive bananas.",,,1,NEG,1,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Tom received. This entails that Tom did not receive bananas.",,,2,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,,,,"S1 focuses on ""Sue"", meaning Sue is the only person who received apples. This provides no information about whether Sue received oranges, making S2 independent.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"S1 focuses on ""grapes"", meaning grapes are the only thing Sue received. This entails that Sue did not receive apples.",,,2,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Ellen received. This contradicts S2, which claims Ellen also received bananas.",,,1,POS,2,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,,,,"S1 focuses on ""grapes"", meaning grapes are the only thing Mary received. This entails that Mary did not receive apples.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,,,,"S1 focuses on ""Bill"", meaning Bill is the only person who received oranges. This contradicts S2, which claims Mary also received oranges.",,,1,POS,1,f2,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 focuses on ""Ellen"", meaning Ellen is the only person who received grapes from Sam. Therefore, it entails that Tom did not receive grapes.",,,1,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,,,,"S1 states that Sam gave Ellen apples (and nothing else), which directly contradicts S2's claim that he didn't give her apples.",,,2,NEG,2,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 focuses on ""grapes"", meaning grapes are the only thing Sam gave Rob. This does not restrict whether he gave grapes to anyone else, like Ellen.",,,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Rob. This does not restrict whether he gave apples to anyone else, like Ellen.",,,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Ellen. This provides no information about what he gave Bill.",,,2,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Rob. This provides no information about what he gave Sue.",,,2,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,,,,"S1 focuses on ""Rob"", meaning Rob is the only person who received oranges. This does not restrict whether Sam gave Rob other fruits like apples.",,,1,POS,2,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,,,,"S1 focuses on ""Rob"", meaning Rob is the only person who received apples. This does not restrict whether Sam gave Rob other fruits like grapes.",,,1,POS,2,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,,,,"S1 focuses on ""Rob"", meaning Rob is the only person who received bananas. Therefore, it entails that Ellen did not receive bananas.",,,1,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Mary. This provides no information about whether he gave apples to Ellen.",,,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person who received apples. S2 states that Rob also received apples, which contradicts S1.",,,1,POS,1,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,1,B,,,,"S1 places prosodic focus on ""apples"", meaning Bill received nothing other than apples. This provides no information about what Mary received, making S2 independent.",,,2,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 places prosodic focus on ""Mary"", meaning Mary was the only person who received oranges. S2 states that Ellen also received oranges, which contradicts S1.",,,1,POS,1,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,1,B,,,,"S1 places prosodic focus on ""apples"", meaning Ellen received nothing other than apples. This provides no information about what Tom received, making S2 independent.",,,2,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob was the only person who received bananas. This provides no information about whether Rob also received oranges, making S2 independent.",,,1,POS,2,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,,,,"S1 places prosodic focus on ""bananas"", meaning Bill received nothing other than bananas. Therefore, it is entailed that he did not receive grapes.",,,2,NEG,2,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 places prosodic focus on ""oranges"", meaning Ellen received nothing other than oranges. Therefore, it is entailed that she did not receive grapes.",,,2,NEG,2,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning Mary received nothing other than bananas. This provides no information about whether Ellen received bananas, making S2 independent.",,,2,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person who received bananas. Therefore, it is entailed that Tom did not receive bananas.",,,1,NEG,1,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,1,A,,,,"S1 places prosodic focus on ""oranges"", meaning Sue received nothing other than oranges. Therefore, it is entailed that she did not receive grapes.",,,2,NEG,2,f4,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 focuses on ""grapes"", meaning Sam gave Ellen grapes and no other fruit. S2 says he gave her oranges, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,,,,"S1 focuses on ""Ellen"", meaning Sam gave apples to Ellen and no one else. S2 says he gave apples to Rob, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Sam gave oranges to Mary and no one else. This does not entail or contradict whether he gave Mary bananas, making S2 independent.",,,1,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,,,,"S1 focuses on ""Mary"", meaning Sam gave oranges to Mary and no one else. S2 says he gave oranges to Tom, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 focuses on ""oranges"", meaning Sam gave Mary oranges and no other fruit. This does not entail or contradict whether he gave Tom oranges, making S2 independent.",,,2,NEG,1,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,,,,"S1 focuses on ""grapes"", meaning Sam gave Mary grapes and no other fruit. S2 says he gave her apples, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,,,,"S1 focuses on ""Sue"", meaning Sam gave apples to Sue and no one else. S2 says he gave apples to Mary, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,,,,"S1 focuses on ""oranges"", meaning Sam gave Bill oranges and no other fruit. S2 says he gave him bananas, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,,,,"S1 focuses on ""bananas"", meaning Sam gave Ellen bananas and no other fruit. S2 says he gave her grapes, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 focuses on ""bananas"", meaning Sam gave Tom bananas and no other fruit. This entails that he didn't give Tom oranges, which is exactly what S2 states.",,,2,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,,,,"S1 focuses on ""Rob"", meaning Sam gave apples to no one else. Therefore, it entails that he didn't give Sue apples.",,,1,NEG,1,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,1,B,,,,"S1 focuses on ""Sue"", meaning Sam gave grapes to no one else. This provides no information about whether he gave Sue oranges, making S2 independent.",,,1,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,1,B,,,,"S1 focuses on ""Sue"", meaning Sam gave grapes to no one else. This provides no information about whether he gave Sue bananas, making S2 independent.",,,1,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 focuses on ""grapes"", meaning Sam gave Mary nothing else. This provides no information about what he gave Ellen, making S2 independent.",,,2,POS,1,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,,,,"S1 focuses on ""oranges"", meaning Sam gave Rob nothing else. S2 states he also gave Rob bananas, which contradicts S1.",,,2,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,,,,"S1 focuses on ""bananas"", meaning Sam gave Sue nothing else. Therefore, it entails that he didn't give her grapes.",,,2,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,,,,"S1 focuses on ""grapes"", meaning Sam gave Tom nothing else. Therefore, it entails that he didn't give him apples.",,,2,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 focuses on ""Tom"", meaning Sam gave bananas to no one else. This provides no information about whether he gave Tom grapes, making S2 independent.",,,1,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,,,,"S1 focuses on ""apples"", meaning Sam gave Rob nothing else. S2 states he also gave Rob grapes, which contradicts S1.",,,2,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,,,,"S1 focuses on ""grapes"", meaning Sam gave Ellen nothing else. S2 states he also gave Ellen oranges, which contradicts S1.",,,1,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,,,,"S1 focuses on ""bananas"", meaning bananas were the only thing Sam gave Bill. S2 says Sam gave Bill grapes, which contradicts S1.",,,2,POS,2,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,,,,"S1 focuses on ""Mary"", meaning Mary was the only person Sam gave apples to. S2 says Sam gave Ellen apples, which contradicts S1.",,,1,POS,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples were the only thing Sam gave Sue. This does not restrict what Sam gave to Tom, so S2 is independent.",,,2,POS,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,1,B,,,,"S1 focuses on ""Bill"", meaning Bill was the only person Sam gave grapes to. This does not restrict whether Sam gave Bill other things like oranges, so S2 is independent.",,,1,NEG,2,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 focuses on ""Bill"", meaning Bill was the only person Sam gave apples to. This does not restrict whether Sam gave Bill bananas, so S2 is independent.",,,1,NEG,2,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,,,,"S1 focuses on ""apples"", meaning apples were the only thing Sam gave Sue. This entails that Sam did not give Sue bananas.",,,1,NEG,2,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 focuses on ""Ellen"", meaning Ellen was the only person Sam gave oranges to. This entails that Sam did not give Tom oranges.",,,1,NEG,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,,,,"S1 focuses on ""Tom"", meaning Tom was the only person Sam gave apples to. This entails that Sam did not give Mary apples.",,,1,NEG,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples were the only thing Sam gave Tom. This does not restrict whether Sam gave apples to Bill, so S2 is independent.",,,2,POS,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning bananas were the only thing Sam gave Sue. This does not restrict whether Sam gave bananas to Tom, so S2 is independent.",,,2,NEG,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Ellen nothing but bananas. It says nothing about what Sam gave Rob, so S2 is independent.",,,2,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"S1 focuses on ""Rob"", meaning Sam gave grapes to no one but Rob. It says nothing about whether Sam gave Rob other fruits like oranges, so S2 is independent.",,,1,POS,2,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,,,,"S1 focuses on ""Tom"", meaning Sam gave apples to no one but Tom. S2 states that Sam gave Bill apples, which contradicts S1.",,,1,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,,,,"S1 focuses on ""apples"", meaning Sam gave Mary nothing but apples. S2 states that Sam gave Mary bananas, which contradicts S1.",,,2,POS,2,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,1,B,,,,"S1 focuses on ""oranges"", meaning Sam gave Ellen nothing but oranges. It says nothing about what Sam gave Sue, so S2 is independent.",,,2,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,1,A,,,,"S1 focuses on ""oranges"", meaning Sam gave Rob nothing but oranges. This entails that Sam did not give Rob apples, which is exactly what S2 states.",,,2,NEG,2,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Bill nothing but bananas. It says nothing about what Sam gave Ellen, so S2 is independent.",,,2,NEG,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Rob nothing but bananas. It says nothing about what Sam gave Sue, so S2 is independent.",,,2,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Bill nothing but bananas. It says nothing about what Sam gave Mary, so S2 is independent.",,,2,NEG,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,1,B,,,,"S1 focuses on ""grapes"", meaning Sam gave Ellen nothing but grapes. It says nothing about what Sam gave Rob, so S2 is independent.",,,2,NEG,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 focuses on ""Ellen"", meaning Sam gave bananas to no one else. It does not restrict what else Sam gave Ellen, so S2 is independent.",,,1,POS,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Sam gave apples to no one else. It does not restrict what else Sam gave Mary, so S2 is independent.",,,1,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,1,B,,,,"S1 focuses on ""Tom"", meaning Sam gave bananas to no one else. It does not restrict what else Sam gave Tom, so S2 is independent.",,,1,POS,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Sam gave apples to no one else. It does not restrict what else Sam gave Mary, so S2 is independent.",,,1,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,,,,"S1 focuses on ""oranges"", meaning Sam gave Mary nothing other than oranges. Therefore, it entails that he didn't give her apples.",,,2,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning Sam gave Rob nothing other than apples. It does not restrict what Sam gave to Mary, so S2 is independent.",,,2,POS,1,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,0,B,,,,"S1 focuses on ""apples"", meaning Sam gave Rob nothing other than apples. It does not restrict what Sam gave to Tom, so S2 is independent.",,,1,POS,1,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 focuses on ""oranges"", meaning Sam gave Rob nothing other than oranges. Therefore, it entails that he didn't give him bananas.",,,2,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,1,B,,,,"S1 focuses on ""grapes"", meaning Sam gave Bill nothing other than grapes. It does not restrict what Sam gave to Rob, so S2 is independent.",,,2,POS,1,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,,,,"S1 focuses on ""grapes"", meaning Sam gave Rob nothing other than grapes. This contradicts S2, which states Sam also gave Rob bananas.",,,2,POS,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,,,,"S1 focuses on ""apples"", meaning Sam gave Tom apples and nothing else. S2 states Sam also gave Tom grapes, which contradicts S1.",,,2,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Mary bananas and nothing else. This provides no information about what Sam gave Bill, making S2 independent.",,,2,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Sam gave apples to Mary and no one else. This does not restrict what other items Sam might have given Mary, making S2 independent.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,1,A,,,,"S1 focuses on ""Sue"", meaning Sam gave apples to Sue and no one else. Therefore, it entails that Sam didn't give Rob apples.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,1,B,,,,"S1 focuses on ""Bill"", meaning Sam gave bananas to Bill and no one else. This does not restrict what other items Sam might have given Bill, making S2 independent.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
