example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 states that Sam only gave Rob grapes, which means that Sam did not give grapes to anyone else. S2 states that Sam also gave Ellen grapes, which contradicts S1.",,,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,A,,,,"S1 states that Sam only gave Rob apples, which means that Sam did not give apples to anyone else. S2 states that Sam also gave Ellen apples, which contradicts S1.",,,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,,,,"S1 states that Sam only gave Ellen apples, which means that Sam did not give apples to anyone else. S2 states that Sam did not give Bill apples, which is consistent with S1.",,,2,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,,,,"S1 states that Sam only gave Rob apples, which means that Sam did not give apples to anyone else. S2 states that Sam did not give Sue apples, which is consistent with S1.",,,2,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,,,,"S1 states that Sam only gave Rob oranges, which means that Sam did not give oranges to anyone else. S2 states that Sam also gave Rob apples, which is independent of S1.",,,1,POS,2,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,,,,"S1 states that Sam only gave Rob apples, which means that Sam did not give apples to anyone else. S2 states that Sam also gave Rob grapes, which is independent of S1.",,,1,POS,2,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,,,,"S1 states that Sam only gave Rob bananas, which means that Sam did not give bananas to anyone else. S2 states that Sam did not give Ellen bananas, which is consistent with S1.",,,1,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1 states that Sam only gave Mary apples, which means that Sam did not give apples to anyone else. S2 states that Sam also gave Ellen apples, which contradicts S1.",,,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,0,A,,,,"Sam only gave Sue apples means that Sam gave apples to Sue and no one else. If Sam also gave Rob apples, then Sam gave apples to someone else, which contradicts the first statement.",,,1,POS,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,0,C,,,,"Sam only gave Bill apples means that Sam gave apples to Bill and no one else. If Sam didn't give Mary apples, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,0,B,,,,"Sam only gave Mary oranges means that Sam gave oranges to Mary and no one else. If Sam also gave Ellen oranges, this contradicts the first statement.",,,1,POS,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,0,C,,,,"Sam only gave Ellen apples means that Sam gave apples to Ellen and no one else. If Sam didn't give Tom apples, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,,,,"Sam only gave Rob bananas means that Sam gave bananas to Rob and no one else. If Sam also gave Rob oranges, this is consistent with the first statement, as it doesn't specify what else Sam gave Rob, only that he only gave bananas to Rob.",,,1,POS,2,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,0,C,,,,"Sam only gave Bill bananas means that Sam gave bananas to Bill and no one else. If Sam didn't give Bill grapes, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,2,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,0,C,,,,"Sam only gave Ellen oranges means that Sam gave oranges to Ellen and no one else. If Sam didn't give Ellen grapes, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,2,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,0,C,,,,"Sam only gave Mary bananas means that Sam gave bananas to Mary and no one else. If Sam didn't give Ellen bananas, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,0,C,,,,"Sam only gave Bill bananas means that Sam gave bananas to Bill and no one else. If Sam didn't give Tom bananas, this is consistent with the first statement, but it doesn't necessarily follow.",,,1,NEG,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,0,C,,,,"Sam only gave Sue oranges means that Sam gave oranges to Sue and no one else. If Sam didn't give Sue grapes, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,2,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 states that Sam only gave Ellen grapes, meaning he did not give her oranges. S2 states that Sam also gave Ellen oranges, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,0,B,,,,"S1 states that Sam only gave Ellen apples, meaning he did not give apples to anyone else. S2 states that Sam also gave Rob apples, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 states that Sam only gave Mary oranges, meaning he did not give her bananas. S2 states that Sam didn't give Mary bananas, which is consistent with S1 but not entailed.",,,1,NEG,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,,,,"S1 states that Sam only gave Mary oranges, meaning he did not give oranges to anyone else. S2 states that Sam also gave Tom oranges, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 states that Sam only gave Mary oranges, meaning he did not give oranges to anyone else. S2 states that Sam didn't give Tom oranges, which is consistent with S1 but not entailed.",,,2,NEG,1,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,0,B,,,,"S1 states that Sam only gave Mary grapes, meaning he did not give her apples. S2 states that Sam also gave Mary apples, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,,,,"S1 states that Sam only gave Sue apples, meaning he did not give apples to anyone else. S2 states that Sam also gave Mary apples, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,0,B,,,,"S1 states that Sam only gave Bill oranges, meaning he did not give him bananas. S2 states that Sam also gave Bill bananas, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,0,B,,,,"S1 states that Sam only gave Ellen bananas, meaning he did not give her grapes. S2 states that Sam also gave Ellen grapes, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,0,B,,,,"S1 states that Sam only gave Tom bananas, meaning he did not give him oranges. S2 states that Sam didn't give Tom oranges, which is consistent with S1 but not entailed.",,,2,NEG,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,,,,"S1 states that Sam only gave Rob apples, which means he didn't give Rob any other fruit. S2 states that Sam didn't give Sue apples, which is consistent with S1 because S1 doesn't say anything about what Sam gave Sue.",,,1,NEG,1,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,1,B,,,,"S1 states that Sam only gave Sue grapes, meaning he didn't give her any other fruit. S2 states that Sam also gave Sue oranges, which contradicts S1.",,,1,POS,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,,,,"S1 states that Sam only gave Sue grapes, meaning he didn't give her any other fruit. S2 states that Sam didn't give Sue bananas, which is consistent with S1.",,,1,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 states that Sam only gave Mary grapes, meaning he didn't give her any other fruit. S2 states that Sam also gave Ellen grapes, which is independent of S1 because S1 doesn't say anything about what Sam gave Ellen.",,,2,POS,1,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,0,B,,,,"S1 states that Sam only gave Rob oranges, meaning he didn't give him any other fruit. S2 states that Sam also gave Rob bananas, which contradicts S1.",,,2,POS,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,,,,"S1 states that Sam only gave Sue bananas, meaning he didn't give her any other fruit. S2 states that Sam didn't give Sue grapes, which is consistent with S1.",,,2,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,,,,"S1 states that Sam only gave Tom grapes, meaning he didn't give him any other fruit. S2 states that Sam didn't give Tom apples, which is consistent with S1.",,,2,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,,,,"S1 states that Sam only gave Tom bananas, meaning he didn't give him any other fruit. S2 states that Sam didn't give Tom grapes, which is consistent with S1.",,,1,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,0,B,,,,"S1 states that Sam only gave Rob apples, meaning he didn't give him any other fruit. S2 states that Sam also gave Rob grapes, which contradicts S1.",,,2,POS,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,1,B,,,,"S1 states that Sam only gave Ellen grapes, meaning he didn't give her any other fruit. S2 states that Sam also gave Ellen oranges, which contradicts S1.",,,1,POS,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,0,A,,,,"S1 states that Sam gave Bill bananas and only bananas. S2 states that Sam also gave Bill grapes. This contradicts S1, as it implies Sam gave Bill something other than bananas.",,,2,POS,2,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,0,A,,,,"S1 states that Sam gave Mary apples and only apples. S2 states that Sam also gave Ellen apples. This does not contradict S1, as it only states that Sam gave apples to someone else, not that Sam gave Mary something other than apples.",,,1,POS,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,A,,,,"S1 states that Sam gave Sue apples and only apples. S2 states that Sam also gave Tom apples. This does not contradict S1, as it only states that Sam gave apples to someone else, not that Sam gave Sue something other than apples.",,,2,POS,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,C,,,,"S1 states that Sam gave Bill grapes and only grapes. S2 states that Sam didn't give Bill oranges. This is entailed by S1, as if Sam only gave Bill grapes, then he certainly didn't give him oranges.",,,1,NEG,2,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,C,,,,"S1 states that Sam gave Bill apples and only apples. S2 states that Sam didn't give Bill bananas. This is entailed by S1, as if Sam only gave Bill apples, then he certainly didn't give him bananas.",,,1,NEG,2,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,C,,,,"S1 states that Sam gave Sue apples and only apples. S2 states that Sam didn't give Sue bananas. This is entailed by S1, as if Sam only gave Sue apples, then he certainly didn't give her bananas.",,,1,NEG,2,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,0,B,,,,"S1 states that Sam gave Ellen oranges and only oranges. S2 states that Sam didn't give Tom oranges. This is independent of S1, as S1 only specifies what Sam gave to Ellen, not what he gave to Tom.",,,1,NEG,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,0,B,,,,"S1 states that Sam gave Tom apples and only apples. S2 states that Sam didn't give Mary apples. This is independent of S1, as S1 only specifies what Sam gave to Tom, not what he gave to Mary.",,,1,NEG,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,A,,,,"S1 states that Sam gave Tom apples and only apples. S2 states that Sam also gave Bill apples. This contradicts S1, as it implies Sam gave apples to someone other than Tom, which contradicts the ""only"" in S1.",,,2,POS,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,C,,,,"S1 states that Sam gave Sue bananas and only bananas. S2 states that Sam didn't give Tom bananas. This is independent of S1, as S1 only specifies what Sam gave to Sue, not what he gave to Tom.",,,2,NEG,1,f7,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,0,A,,,,"S1 states that Sam only gave Ellen bananas, meaning he gave bananas to Ellen and no other fruit to Ellen. S2 states that Sam also gave Rob bananas, which is consistent with S1.",,,2,POS,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"S1 states that Sam only gave Rob grapes, meaning he gave grapes to Rob and no other fruit to Rob. S2 states that Sam also gave Rob oranges, which contradicts S1.",,,1,POS,2,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,0,B,,,,"S1 states that Sam only gave Tom apples, meaning he gave apples to Tom and no other fruit to Tom. S2 states that Sam also gave Bill apples, which is consistent with S1.",,,1,POS,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,0,B,,,,"S1 states that Sam only gave Mary apples, meaning he gave apples to Mary and no other fruit to Mary. S2 states that Sam also gave Mary bananas, which contradicts S1.",,,2,POS,2,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,0,A,,,,"S1 states that Sam only gave Ellen oranges, meaning he gave oranges to Ellen and no other fruit to Ellen. S2 states that Sam also gave Sue oranges, which is consistent with S1.",,,2,POS,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,0,B,,,,"S1 states that Sam only gave Rob oranges, meaning he gave oranges to Rob and no other fruit to Rob. S2 states that Sam didn't give Rob apples, which is consistent with S1.",,,2,NEG,2,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,1,B,,,,"S1 states that Sam only gave Bill bananas, meaning he gave bananas to Bill and no other fruit to Bill. S2 states that Sam didn't give Ellen bananas, which is consistent with S1.",,,2,NEG,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,0,A,,,,"S1 states that Sam only gave Rob bananas, meaning he gave bananas to Rob and no other fruit to Rob. S2 states that Sam also gave Sue bananas, which is consistent with S1.",,,2,POS,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 states that Sam only gave Bill bananas, meaning he gave bananas to Bill and no other fruit to Bill. S2 states that Sam didn't give Mary bananas, which is consistent with S1.",,,2,NEG,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,1,B,,,,"S1 states that Sam only gave Ellen grapes, meaning he gave grapes to Ellen and no other fruit to Ellen. S2 states that Sam didn't give Rob grapes, which is consistent with S1.",,,2,NEG,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,A,,,,"if Sam only gave Ellen bananas, then he didn't give her anything else, including grapes.",,,1,POS,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,A,,,,"if Sam only gave Mary apples, then he didn't give her anything else, including oranges.",,,1,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,1,B,,,,"Sam only gave Tom bananas, but he could have given him apples as well.",,,1,POS,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,0,A,,,,"if Sam only gave Mary apples, then he didn't give her anything else, including grapes.",,,1,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,,,,"if Sam only gave Mary oranges, then he didn't give her anything else, including apples.",,,2,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,1,B,,,,"Sam only gave Rob apples, but he could have given Mary apples as well.",,,2,POS,1,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,0,B,,,,"Sam only gave Rob apples, but he could have given Tom apples as well.",,,1,POS,1,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,,,,"if Sam only gave Rob oranges, then he didn't give him anything else, including bananas.",,,2,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,1,B,,,,"Sam only gave Bill grapes, but he could have given Rob grapes as well.",,,2,POS,1,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,0,B,,,,"Sam only gave Rob grapes, but he could have given Rob bananas as well.",,,2,POS,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,,,,"S1 states that Sam only gave Tom apples, meaning he did not give Tom grapes. S2 states that Sam also gave Tom grapes, which contradicts S1.",,,2,POS,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 states that Sam only gave Mary bananas, meaning he did not give Bill bananas. S2 states that Sam didn't give Bill bananas, which is consistent with S1 but not entailed.",,,2,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
